home_team_name,away_team_name,home_team_abbr,away_team_abbr,season_label,matches,red_cards,total_red_cards
Everton,Liverpool,EVE,LIV,1992-93,1,0,8
Everton,Liverpool,EVE,LIV,1993-94,1,0,8
Everton,Liverpool,EVE,LIV,1994-95,1,0,8
Everton,Liverpool,EVE,LIV,1995-96,1,0,8
Everton,Liverpool,EVE,LIV,1996-97,1,0,8
Everton,Liverpool,EVE,LIV,1997-98,1,0,8
Everton,Liverpool,EVE,LIV,1998-99,1,0,8
Everton,Liverpool,EVE,LIV,1999-00,1,0,8
Everton,Liverpool,EVE,LIV,2000-01,1,1,8
Everton,Liverpool,EVE,LIV,2001-02,1,0,8
Everton,Liverpool,EVE,LIV,2002-03,1,0,8
Everton,Liverpool,EVE,LIV,2003-04,1,0,8
Everton,Liverpool,EVE,LIV,2004-05,1,0,8
Everton,Liverpool,EVE,LIV,2005-06,1,0,8
Everton,Liverpool,EVE,LIV,2006-07,1,0,8
Everton,Liverpool,EVE,LIV,2007-08,1,2,8
Everton,Liverpool,EVE,LIV,2008-09,1,1,8
Everton,Liverpool,EVE,LIV,2009-10,1,0,8
Everton,Liverpool,EVE,LIV,2010-11,1,0,8
Everton,Liverpool,EVE,LIV,2011-12,1,1,8
Everton,Liverpool,EVE,LIV,2012-13,1,0,8
Everton,Liverpool,EVE,LIV,2013-14,1,0,8
Everton,Liverpool,EVE,LIV,2014-15,1,0,8
Everton,Liverpool,EVE,LIV,2015-16,1,0,8
Everton,Liverpool,EVE,LIV,2016-17,1,0,8
Everton,Liverpool,EVE,LIV,2017-18,1,0,8
Everton,Liverpool,EVE,LIV,2018-19,1,0,8
Everton,Liverpool,EVE,LIV,2019-20,1,0,8
Everton,Liverpool,EVE,LIV,2020-21,1,1,8
Everton,Liverpool,EVE,LIV,2021-22,1,0,8
Everton,Liverpool,EVE,LIV,2022-23,1,0,8
Everton,Liverpool,EVE,LIV,2023-24,1,0,8
Everton,Liverpool,EVE,LIV,2024-25,1,2,8
Everton,Liverpool,EVE,LIV,2025-26,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1992-93,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1993-94,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1994-95,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1995-96,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1996-97,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1997-98,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1998-99,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,1999-00,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2000-01,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2001-02,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2002-03,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2003-04,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2004-05,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2005-06,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2006-07,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2007-08,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2008-09,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2009-10,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2010-11,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2011-12,1,2,8
Tottenham Hotspur,Liverpool,TOT,LIV,2012-13,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2013-14,1,1,8
Tottenham Hotspur,Liverpool,TOT,LIV,2014-15,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2015-16,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2016-17,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2017-18,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2018-19,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2019-20,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2020-21,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2021-22,1,1,8
Tottenham Hotspur,Liverpool,TOT,LIV,2022-23,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2023-24,1,2,8
Tottenham Hotspur,Liverpool,TOT,LIV,2024-25,1,0,8
Tottenham Hotspur,Liverpool,TOT,LIV,2025-26,1,2,8
Liverpool,Manchester United,LIV,MUN,1992-93,1,0,7
Liverpool,Manchester United,LIV,MUN,1993-94,1,0,7
Liverpool,Manchester United,LIV,MUN,1994-95,1,0,7
Liverpool,Manchester United,LIV,MUN,1995-96,1,0,7
Liverpool,Manchester United,LIV,MUN,1996-97,1,0,7
Liverpool,Manchester United,LIV,MUN,1997-98,1,0,7
Liverpool,Manchester United,LIV,MUN,1998-99,1,0,7
Liverpool,Manchester United,LIV,MUN,1999-00,1,0,7
Liverpool,Manchester United,LIV,MUN,2000-01,1,0,7
Liverpool,Manchester United,LIV,MUN,2001-02,1,0,7
Liverpool,Manchester United,LIV,MUN,2002-03,1,0,7
Liverpool,Manchester United,LIV,MUN,2003-04,1,0,7
Liverpool,Manchester United,LIV,MUN,2004-05,1,0,7
Liverpool,Manchester United,LIV,MUN,2005-06,1,0,7
Liverpool,Manchester United,LIV,MUN,2006-07,1,1,7
Liverpool,Manchester United,LIV,MUN,2007-08,1,0,7
Liverpool,Manchester United,LIV,MUN,2008-09,1,1,7
Liverpool,Manchester United,LIV,MUN,2009-10,1,2,7
Liverpool,Manchester United,LIV,MUN,2010-11,1,0,7
Liverpool,Manchester United,LIV,MUN,2011-12,1,0,7
Liverpool,Manchester United,LIV,MUN,2012-13,1,1,7
Liverpool,Manchester United,LIV,MUN,2013-14,1,0,7
