team_name,minute,label,home_goals,away_goals
Arsenal,5,1-5,0,1
Arsenal,10,6-10,2,1
Arsenal,15,11-15,2,2
Arsenal,20,16-20,0,2
Arsenal,25,21-25,1,0
Arsenal,30,26-30,1,2
Arsenal,35,31-35,3,2
Arsenal,40,36-40,5,1
Arsenal,45,41-45,4,1
Arsenal,50,46-50,4,2
Arsenal,55,51-55,2,3
Arsenal,60,56-60,1,3
Arsenal,65,61-65,0,2
Arsenal,70,66-70,5,1
Arsenal,75,71-75,0,2
Arsenal,80,76-80,3,0
Arsenal,85,81-85,1,2
Arsenal,90,86-90,7,3
Chelsea,5,1-5,2,0
Chelsea,10,6-10,0,0
Chelsea,15,11-15,2,2
Chelsea,20,16-20,1,0
Chelsea,25,21-25,4,1
Chelsea,30,26-30,1,0
Chelsea,35,31-35,0,6
Chelsea,40,36-40,1,2
Chelsea,45,41-45,2,2
Chelsea,50,46-50,1,4
Chelsea,55,51-55,1,3
Chelsea,60,56-60,3,2
Chelsea,65,61-65,1,3
Chelsea,70,66-70,2,1
Chelsea,75,71-75,1,1
Chelsea,80,76-80,1,1
Chelsea,85,81-85,0,2
Chelsea,90,86-90,3,2
Liverpool,5,1-5,2,0
Liverpool,10,6-10,2,0
Liverpool,15,11-15,0,0
Liverpool,20,16-20,1,0
Liverpool,25,21-25,1,0
Liverpool,30,26-30,1,2
Liverpool,35,31-35,1,1
Liverpool,40,36-40,4,0
Liverpool,45,41-45,7,2
Liverpool,50,46-50,1,4
Liverpool,55,51-55,0,1
Liverpool,60,56-60,3,4
Liverpool,65,61-65,0,2
Liverpool,70,66-70,2,1
Liverpool,75,71-75,1,0
Liverpool,80,76-80,1,2
Liverpool,85,81-85,3,1
Liverpool,90,86-90,4,9
Manchester United,5,1-5,1,1
Manchester United,10,6-10,2,0
Manchester United,15,11-15,4,0
Manchester United,20,16-20,1,0
Manchester United,25,21-25,2,1
Manchester United,30,26-30,2,1
Manchester United,35,31-35,2,3
Manchester United,40,36-40,2,1
Manchester United,45,41-45,2,4
Manchester United,50,46-50,0,3
Manchester United,55,51-55,2,2
Manchester United,60,56-60,4,2
Manchester United,65,61-65,3,4
Manchester United,70,66-70,1,0
Manchester United,75,71-75,1,2
Manchester United,80,76-80,5,0
Manchester United,85,81-85,2,3
Manchester United,90,86-90,3,3
West Ham United,5,1-5,1,0
West Ham United,10,6-10,2,1
West Ham United,15,11-15,2,3
West Ham United,20,16-20,0,0
West Ham United,25,21-25,1,0
West Ham United,30,26-30,1,1
West Ham United,35,31-35,2,1
West Ham United,40,36-40,0,1
West Ham United,45,41-45,5,0
West Ham United,50,46-50,2,1
West Ham United,55,51-55,1,0
West Ham United,60,56-60,0,0
West Ham United,65,61-65,0,2
West Ham United,70,66-70,3,1
West Ham United,75,71-75,0,2
West Ham United,80,76-80,2,0
West Ham United,85,81-85,1,2
West Ham United,90,86-90,4,4
