season_label,match_week,cumulative_goals
2024-25,1,1
2024-25,2,4
2024-25,3,7
2024-25,4,9
2024-25,5,10
2024-25,6,10
2024-25,7,10
2024-25,8,10
2024-25,9,11
2024-25,10,11
2024-25,11,12
2024-25,12,12
2024-25,13,12
2024-25,14,12
2024-25,15,13
2024-25,16,13
2024-25,17,13
2024-25,18,13
2024-25,19,14
2024-25,20,16
2024-25,21,16
2024-25,22,17
2024-25,23,18
2024-25,24,19
2024-25,25,19
2024-25,26,19
2024-25,27,20
2024-25,28,20
2024-25,29,21
2024-25,30,21
2024-25,31,21
2024-25,32,21
2024-25,33,21
2024-25,34,21
2024-25,35,21
2024-25,36,21
2024-25,37,21
2024-25,38,22
2025-26,1,2
2025-26,2,2
2025-26,3,3
2025-26,4,5
2025-26,5,6
2025-26,6,8
2025-26,7,9
2025-26,8,11
2025-26,9,11
2025-26,10,13
2025-26,11,14
2025-26,12,14
2025-26,13,14
2025-26,14,15
2025-26,15,15
2025-26,16,17
2025-26,17,19
2025-26,18,19
2025-26,19,19
2025-26,20,19
2025-26,21,20
2025-26,22,20
2025-26,23,20
2025-26,24,20
2025-26,25,21
2025-26,26,22
2025-26,27,22
2025-26,28,22
2025-26,29,22
2025-26,30,22
2025-26,31,22
2025-26,32,23
2025-26,33,24
2025-26,34,25
2025-26,35,26
2025-26,36,26
2025-26,37,27
2025-26,38,27
2026-27,1,0
