player_name,season_label,match_week,cumulative_goals
Erling Haaland,2022-23,1,2
Erling Haaland,2022-23,2,2
Erling Haaland,2022-23,3,3
Erling Haaland,2022-23,4,6
Erling Haaland,2022-23,5,9
Erling Haaland,2022-23,6,10
Erling Haaland,2022-23,7,11
Erling Haaland,2022-23,8,14
Erling Haaland,2022-23,9,15
Erling Haaland,2022-23,10,15
Erling Haaland,2022-23,11,17
Erling Haaland,2022-23,12,17
Erling Haaland,2022-23,13,18
Erling Haaland,2022-23,14,18
Erling Haaland,2022-23,15,20
Erling Haaland,2022-23,16,21
Erling Haaland,2022-23,17,21
Erling Haaland,2022-23,18,21
Erling Haaland,2022-23,19,22
Erling Haaland,2022-23,20,25
Erling Haaland,2022-23,21,25
Erling Haaland,2022-23,22,25
Erling Haaland,2022-23,23,26
Erling Haaland,2022-23,24,26
Erling Haaland,2022-23,25,27
Erling Haaland,2022-23,26,27
Erling Haaland,2022-23,27,28
Erling Haaland,2022-23,28,28
Erling Haaland,2022-23,29,30
Erling Haaland,2022-23,30,32
Erling Haaland,2022-23,31,33
Erling Haaland,2022-23,32,34
Erling Haaland,2022-23,33,35
Erling Haaland,2022-23,34,35
Erling Haaland,2022-23,35,36
Erling Haaland,2022-23,36,36
Erling Haaland,2022-23,37,36
Erling Haaland,2022-23,38,36
Erling Haaland,2023-24,1,2
Erling Haaland,2023-24,2,2
Erling Haaland,2023-24,3,3
Erling Haaland,2023-24,4,6
Erling Haaland,2023-24,5,7
Erling Haaland,2023-24,6,8
Erling Haaland,2023-24,7,8
Erling Haaland,2023-24,8,8
Erling Haaland,2023-24,9,9
Erling Haaland,2023-24,10,11
Erling Haaland,2023-24,11,11
Erling Haaland,2023-24,12,13
Erling Haaland,2023-24,13,14
Erling Haaland,2023-24,14,14
Erling Haaland,2023-24,15,14
Erling Haaland,2023-24,16,14
Erling Haaland,2023-24,17,14
Erling Haaland,2023-24,18,14
Erling Haaland,2023-24,19,14
Erling Haaland,2023-24,20,14
Erling Haaland,2023-24,21,14
Erling Haaland,2023-24,22,14
Erling Haaland,2023-24,23,16
Erling Haaland,2023-24,24,16
Erling Haaland,2023-24,25,17
Erling Haaland,2023-24,26,17
Erling Haaland,2023-24,27,18
Erling Haaland,2023-24,28,18
Erling Haaland,2023-24,29,18
Erling Haaland,2023-24,30,18
Erling Haaland,2023-24,31,19
Erling Haaland,2023-24,32,20
Erling Haaland,2023-24,33,20
Erling Haaland,2023-24,34,21
