player_name,opponent_name,goals
Erling Haaland,West Ham United,11
Erling Haaland,Crystal Palace,10
Erling Haaland,Wolverhampton Wanderers,10
Erling Haaland,Fulham,8
Erling Haaland,Manchester United,8
Erling Haaland,Brighton and Hove Albion,7
Erling Haaland,Everton,7
Erling Haaland,Arsenal,6
Erling Haaland,Brentford,5
Erling Haaland,Burnley,5
Erling Haaland,Nottingham Forest,5
Erling Haaland,Bournemouth,4
Erling Haaland,Chelsea,4
Erling Haaland,Ipswich Town,4
Erling Haaland,Southampton,4
Erling Haaland,Tottenham Hotspur,4
Erling Haaland,Leicester City,3
Erling Haaland,Liverpool,3
Erling Haaland,Leeds United,2
Erling Haaland,Aston Villa,1
Erling Haaland,Coventry City,1
Erling Haaland,Luton Town,1
Erling Haaland,Newcastle United,1
Erling Haaland,Sheffield United,1
Harry Kane,Crystal Palace,8
Harry Kane,Everton,8
Harry Kane,Arsenal,7
Harry Kane,Leicester City,7
Harry Kane,Newcastle United,7
Harry Kane,Brighton and Hove Albion,6
Harry Kane,Southampton,6
Harry Kane,Burnley,5
Harry Kane,Leeds United,5
Harry Kane,Aston Villa,4
Harry Kane,Fulham,4
Harry Kane,Liverpool,4
Harry Kane,Manchester United,4
Harry Kane,Nottingham Forest,4
Harry Kane,West Ham United,4
Harry Kane,Wolverhampton Wanderers,4
Harry Kane,Chelsea,3
Harry Kane,Manchester City,3
Harry Kane,Brentford,2
Harry Kane,Huddersfield Town,2
Harry Kane,Norwich City,2
Harry Kane,Sheffield United,2
Harry Kane,West Bromwich Albion,2
Harry Kane,Bournemouth,1
Harry Kane,Cardiff City,1
Jamie Vardy,Watford,7
Jamie Vardy,Brighton and Hove Albion,6
Jamie Vardy,Southampton,6
Jamie Vardy,Tottenham Hotspur,6
Jamie Vardy,Arsenal,5
Jamie Vardy,Crystal Palace,5
Jamie Vardy,Aston Villa,4
Jamie Vardy,Bournemouth,4
Jamie Vardy,Burnley,4
Jamie Vardy,Manchester City,4
Jamie Vardy,Everton,3
Jamie Vardy,Huddersfield Town,3
Jamie Vardy,Newcastle United,3
Jamie Vardy,Norwich City,3
Jamie Vardy,West Bromwich Albion,3
Jamie Vardy,Wolverhampton Wanderers,3
Jamie Vardy,Fulham,2
Jamie Vardy,Leeds United,2
Jamie Vardy,Manchester United,2
Jamie Vardy,Sheffield United,2
Jamie Vardy,West Ham United,2
Jamie Vardy,Chelsea,1
Jamie Vardy,Ipswich Town,1
Jamie Vardy,Liverpool,1
Jamie Vardy,Nottingham Forest,1
Mohamed Salah,Manchester United,13
Mohamed Salah,Bournemouth,10
Mohamed Salah,Aston Villa,9
Mohamed Salah,Brighton and Hove Albion,9
Mohamed Salah,Leeds United,9
Mohamed Salah,Newcastle United,9
Mohamed Salah,Tottenham Hotspur,9
Mohamed Salah,Arsenal,8
Mohamed Salah,Crystal Palace,8
Mohamed Salah,Everton,8
Mohamed Salah,Manchester City,8
Mohamed Salah,Southampton,8
Mohamed Salah,West Ham United,8
Mohamed Salah,Brentford,7
Mohamed Salah,Wolverhampton Wanderers,7
Mohamed Salah,Fulham,5
Mohamed Salah,Chelsea,4
Mohamed Salah,Watford,4
Mohamed Salah,Huddersfield Town,3
Mohamed Salah,Norwich City,3
Mohamed Salah,Ipswich Town,2
Mohamed Salah,Leicester City,2
Mohamed Salah,Nottingham Forest,2
Mohamed Salah,Burnley,1
Mohamed Salah,Cardiff City,1
Mohamed Salah,Sheffield United,1
Mohamed Salah,West Bromwich Albion,1
Son Heung-min,Arsenal,8
Son Heung-min,Southampton,8
Son Heung-min,Crystal Palace,7
Son Heung-min,Leicester City,7
Son Heung-min,Aston Villa,6
Son Heung-min,Everton,6
Son Heung-min,Liverpool,6
Son Heung-min,West Ham United,6
Son Heung-min,Bournemouth,5
Son Heung-min,Burnley,5
Son Heung-min,Newcastle United,5
Son Heung-min,Manchester City,4
Son Heung-min,Manchester United,4
Son Heung-min,Norwich City,4
Son Heung-min,Leeds United,3
Son Heung-min,Chelsea,2
Son Heung-min,Sheffield United,2
Son Heung-min,Watford,2
Son Heung-min,Brentford,1
Son Heung-min,Brighton and Hove Albion,1
Son Heung-min,Cardiff City,1
Son Heung-min,Fulham,1
Son Heung-min,Luton Town,1
Son Heung-min,Nottingham Forest,1
Son Heung-min,West Bromwich Albion,1
