season_label,team_name,team_short_name,minute
1992-93,Arsenal,Arsenal,86
1992-93,Blackburn Rovers,Blackburn,47
1992-93,Blackburn Rovers,Blackburn,60
1992-93,Blackburn Rovers,Blackburn,61
1992-93,Chelsea,Chelsea,46
1992-93,Chelsea,Chelsea,88
1992-93,Coventry City,Coventry,87
1992-93,Crystal Palace,Crystal Palace,38
1992-93,Crystal Palace,Crystal Palace,44
1992-93,Crystal Palace,Crystal Palace,65
1992-93,Everton,Everton,21
1992-93,Everton,Everton,42
1992-93,Everton,Everton,44
1992-93,Ipswich Town,Ipswich,2
1992-93,Liverpool,Liverpool,60
1992-93,Liverpool,Liverpool,88
1992-93,Manchester City,Man City,28
1992-93,Middlesbrough,Boro,20
1992-93,Middlesbrough,Boro,54
1992-93,Nottingham Forest,Nott'm Forest,84
1992-93,Sheffield United,Sheff Utd,61
1992-93,Sheffield United,Sheff Utd,81
1992-93,Sheffield United,Sheff Utd,84
1992-93,Sheffield Wednesday,Sheff Wed,89
1992-93,Southampton,Southampton,20
1992-93,Southampton,Southampton,62
1992-93,Southampton,Southampton,88
1992-93,Tottenham Hotspur,Spurs,67
1992-93,Wimbledon,Wimbledon,59
1992-93,Wimbledon,Wimbledon,64
1992-93,Wimbledon,Wimbledon,64
1992-93,Wimbledon,Wimbledon,69
1992-93,Wimbledon,Wimbledon,74
1999-00,Arsenal,Arsenal,42
1999-00,Arsenal,Arsenal,53
1999-00,Arsenal,Arsenal,84
1999-00,Arsenal,Arsenal,85
1999-00,Arsenal,Arsenal,88
1999-00,Aston Villa,Aston Villa,64
1999-00,Bradford City,Bradford,32
1999-00,Chelsea,Chelsea,56
1999-00,Chelsea,Chelsea,67
1999-00,Chelsea,Chelsea,73
1999-00,Chelsea,Chelsea,86
1999-00,Coventry City,Coventry,69
1999-00,Coventry City,Coventry,87
1999-00,Derby County,Derby,25
1999-00,Derby County,Derby,36
1999-00,Derby County,Derby,36
1999-00,Derby County,Derby,39
1999-00,Everton,Everton,24
1999-00,Everton,Everton,49
1999-00,Everton,Everton,49
1999-00,Everton,Everton,74
1999-00,Everton,Everton,76
1999-00,Everton,Everton,86
1999-00,Leeds United,Leeds,43
1999-00,Leeds United,Leeds,54
1999-00,Leeds United,Leeds,86
1999-00,Leicester City,Leicester,50
1999-00,Leicester City,Leicester,61
1999-00,Leicester City,Leicester,67
1999-00,Liverpool,Liverpool,30
1999-00,Liverpool,Liverpool,74
1999-00,Liverpool,Liverpool,88
1999-00,Liverpool,Liverpool,89
1999-00,Manchester United,Man Utd,21
1999-00,Manchester United,Man Utd,63
1999-00,Manchester United,Man Utd,63
1999-00,Manchester United,Man Utd,71
1999-00,Middlesbrough,Boro,59
1999-00,Middlesbrough,Boro,85
1999-00,Middlesbrough,Boro,89
1999-00,Newcastle United,Newcastle,29
1999-00,Newcastle United,Newcastle,46
1999-00,Newcastle United,Newcastle,69
1999-00,Sheffield Wednesday,Sheff Wed,67
1999-00,Southampton,Southampton,66
1999-00,Southampton,Southampton,76
1999-00,Southampton,Southampton,86
1999-00,Southampton,Southampton,88
1999-00,Southampton,Southampton,88
1999-00,Sunderland,Sunderland,19
1999-00,Sunderland,Sunderland,31
1999-00,Sunderland,Sunderland,42
1999-00,Sunderland,Sunderland,89
1999-00,Tottenham Hotspur,Spurs,88
1999-00,Watford,Watford,63
1999-00,Watford,Watford,87
1999-00,Watford,Watford,88
1999-00,Watford,Watford,88
1999-00,West Ham United,West Ham,27
1999-00,West Ham United,West Ham,43
1999-00,West Ham United,West Ham,70
1999-00,West Ham United,West Ham,70
1999-00,West Ham United,West Ham,85
1999-00,West Ham United,West Ham,88
1999-00,West Ham United,West Ham,88
1999-00,West Ham United,West Ham,88
1999-00,Wimbledon,Wimbledon,15
1999-00,Wimbledon,Wimbledon,50
1999-00,Wimbledon,Wimbledon,77
1999-00,Wimbledon,Wimbledon,87
2023-24,Arsenal,Arsenal,67
2023-24,Arsenal,Arsenal,83
2023-24,Aston Villa,Aston Villa,65
2023-24,Aston Villa,Aston Villa,97
2023-24,Bournemouth,Bournemouth,54
2023-24,Bournemouth,Bournemouth,79
2023-24,Bournemouth,Bournemouth,84
2023-24,Brentford,Brentford,8
2023-24,Brentford,Brentford,71
2023-24,Brighton and Hove Albion,Brighton,69
2023-24,Brighton and Hove Albion,Brighton,73
2023-24,Brighton and Hove Albion,Brighton,81
2023-24,Burnley,Burnley,35
2023-24,Burnley,Burnley,40
2023-24,Burnley,Burnley,43
2023-24,Burnley,Burnley,56
2023-24,Burnley,Burnley,67
2023-24,Burnley,Burnley,78
2023-24,Burnley,Burnley,94
2023-24,Burnley,Burnley,94
2023-24,Chelsea,Chelsea,45
2023-24,Chelsea,Chelsea,58
2023-24,Chelsea,Chelsea,73
2023-24,Chelsea,Chelsea,88
2023-24,Crystal Palace,Crystal Palace,75
2023-24,Crystal Palace,Crystal Palace,85
2023-24,Everton,Everton,37
2023-24,Fulham,Fulham,22
2023-24,Fulham,Fulham,64
2023-24,Fulham,Fulham,83
2023-24,Fulham,Fulham,95
2023-24,Liverpool,Liverpool,26
2023-24,Liverpool,Liverpool,28
2023-24,Liverpool,Liverpool,58
2023-24,Liverpool,Liverpool,69
2023-24,Liverpool,Liverpool,88
2023-24,Manchester City,Man City,46
2023-24,Manchester City,Man City,95
2023-24,Manchester United,Man Utd,94
2023-24,Newcastle United,Newcastle,94
2023-24,Nottingham Forest,Nott'm Forest,23
2023-24,Nottingham Forest,Nott'm Forest,56
2023-24,Nottingham Forest,Nott'm Forest,67
2023-24,Sheffield United,Sheff Utd,13
2023-24,Sheffield United,Sheff Utd,46
2023-24,Sheffield United,Sheff Utd,93
2023-24,Sheffield United,Sheff Utd,96
2023-24,Sheffield United,Sheff Utd,104
2023-24,Tottenham Hotspur,Spurs,33
2023-24,Tottenham Hotspur,Spurs,49
2023-24,Tottenham Hotspur,Spurs,55
2023-24,Tottenham Hotspur,Spurs,70
2023-24,West Ham United,West Ham,67
2023-24,West Ham United,West Ham,71
2023-24,West Ham United,West Ham,97
2023-24,Wolverhampton Wanderers,Wolves,28
2023-24,Wolverhampton Wanderers,Wolves,39
2023-24,Wolverhampton Wanderers,Wolves,94
2023-24,Wolverhampton Wanderers,Wolves,95
2024-25,Arsenal,Arsenal,30
2024-25,Arsenal,Arsenal,43
2024-25,Arsenal,Arsenal,49
2024-25,Arsenal,Arsenal,53
2024-25,Arsenal,Arsenal,73
2024-25,Arsenal,Arsenal,79
2024-25,Aston Villa,Aston Villa,32
2024-25,Aston Villa,Aston Villa,46
2024-25,Aston Villa,Aston Villa,80
2024-25,Aston Villa,Aston Villa,93
2024-25,Bournemouth,Bournemouth,31
2024-25,Bournemouth,Bournemouth,70
2024-25,Bournemouth,Bournemouth,73
2024-25,Brentford,Brentford,41
2024-25,Brighton and Hove Albion,Brighton,59
2024-25,Brighton and Hove Albion,Brighton,61
2024-25,Brighton and Hove Albion,Brighton,83
2024-25,Brighton and Hove Albion,Brighton,96
2024-25,Chelsea,Chelsea,36
2024-25,Chelsea,Chelsea,98
2024-25,Crystal Palace,Crystal Palace,46
2024-25,Crystal Palace,Crystal Palace,76
2024-25,Crystal Palace,Crystal Palace,78
2024-25,Crystal Palace,Crystal Palace,90
2024-25,Everton,Everton,66
2024-25,Everton,Everton,104
2024-25,Fulham,Fulham,64
2024-25,Fulham,Fulham,83
2024-25,Ipswich Town,Ipswich,32
2024-25,Ipswich Town,Ipswich,37
2024-25,Ipswich Town,Ipswich,40
2024-25,Ipswich Town,Ipswich,69
2024-25,Ipswich Town,Ipswich,77
