season_label,matches,home_red_cards,away_red_cards,red_cards
1992-93,462,0,0,0
1993-94,462,0,0,0
1994-95,462,0,0,0
1995-96,380,0,0,0
1996-97,380,0,0,0
1997-98,380,0,0,0
1998-99,380,0,0,0
1999-00,380,0,0,0
2000-01,380,0,1,1
2001-02,380,2,0,2
2002-03,380,0,0,0
2003-04,380,0,0,0
2004-05,380,0,0,0
2005-06,380,0,0,0
2006-07,380,17,34,51
2007-08,380,30,29,59
2008-09,380,26,37,63
2009-10,380,23,45,68
2010-11,380,29,36,65
2011-12,380,26,40,66
2012-13,380,26,26,52
2013-14,380,16,37,53
2014-15,380,26,45,71
2015-16,380,25,34,59
2016-17,380,21,20,41
2017-18,380,17,22,39
2018-19,380,18,29,47
2019-20,380,22,22,44
2020-21,380,20,28,48
2021-22,380,20,23,43
2022-23,380,20,10,30
2023-24,380,27,31,58
2024-25,380,26,26,52
2025-26,380,22,22,44
2026-27,9,0,1,1
