season_label,matches,total_goals,goals_per_game,nil_nils,draws,draw_pct,red_cards,reds_per_game,goals_rank,nil_nils_rank,draw_rank,excitement_score,excitement_rank
2023-24,380,1246,3.28,11,82,21.6,58,0.15,1,1,4,6,1
2018-19,380,1072,2.82,22,71,18.7,47,0.12,4,5,1,10,2
2024-25,380,1115,2.93,16,93,24.5,52,0.14,2,2,12,16,3
2021-22,380,1071,2.82,22,88,23.2,43,0.11,4,5,8,17,4
2022-23,380,1084,2.85,23,87,22.9,30,0.08,3,8,7,18,5
2016-17,380,1064,2.8,27,84,22.1,41,0.11,7,11,6,24,6
1999-00,380,1060,2.79,22,92,24.2,0,0.0,10,5,10,25,7
2013-14,380,1052,2.77,27,78,20.5,53,0.14,11,11,3,25,8
2019-20,380,1034,2.72,21,92,24.2,44,0.12,14,3,10,27,9
2011-12,380,1066,2.81,27,93,24.5,66,0.17,6,11,12,29,10
2002-03,380,1000,2.63,21,90,23.7,0,0.0,22,3,9,34,11
2020-21,380,1024,2.69,30,83,21.8,48,0.13,16,17,5,38,12
2010-11,380,1063,2.8,25,111,29.2,65,0.17,7,9,31,47,13
2009-10,380,1053,2.77,32,96,25.3,68,0.18,11,20,16,47,14
2025-26,380,1045,2.75,27,104,27.4,44,0.12,13,11,24,48,15
2007-08,380,1002,2.64,26,100,26.3,59,0.16,21,10,21,52,16
1995-96,380,988,2.6,27,98,25.8,0,0.0,25,11,18,54,17
2005-06,380,944,2.48,32,77,20.3,0,0.0,32,20,2,54,18
1997-98,380,1019,2.68,33,95,25.0,0,0.0,17,24,15,56,19
2017-18,380,1018,2.68,32,99,26.1,39,0.1,17,20,20,57,20
2014-15,380,975,2.57,31,93,24.5,71,0.19,28,19,12,59,21
2012-13,380,1063,2.8,35,108,28.4,52,0.14,7,27,27,61,22
2015-16,380,1026,2.7,32,107,28.2,59,0.16,15,20,26,61,23
2000-01,380,992,2.61,28,101,26.6,1,0.0,24,16,22,62,24
2001-02,380,1001,2.63,34,101,26.6,2,0.01,22,25,22,69,25
1992-93,462,1222,2.65,38,130,28.1,0,0.0,20,28,25,73,26
2004-05,380,975,2.57,30,110,28.9,0,0.0,28,17,29,74,27
2003-04,380,1012,2.66,41,108,28.4,0,0.0,19,29,27,75,28
2006-07,380,931,2.45,34,98,25.8,51,0.13,34,25,18,77,29
2008-09,380,942,2.48,42,97,25.5,63,0.17,32,31,17,80,30
1994-95,462,1195,2.59,51,134,29.0,0,0.0,26,34,30,90,31
1993-94,462,1195,2.59,43,142,30.7,0,0.0,26,32,33,91,32
1996-97,380,970,2.55,41,119,31.3,0,0.0,30,29,34,93,33
1998-99,380,959,2.52,49,115,30.3,0,0.0,31,33,32,96,34
