team_abbr,team_name,matches_played,wins,draws,losses,points
MUN,Manchester United,1305,775,289,241,2614
ARS,Arsenal,1305,720,316,269,2476
LIV,Liverpool,1305,694,321,290,2403
CHE,Chelsea,1304,681,323,300,2366
TOT,Tottenham Hotspur,1305,561,309,435,1992
MCI,Manchester City,1115,574,239,302,1961
EVE,Everton,1305,464,366,475,1758
NEW,Newcastle United,1187,453,298,436,1657
AVL,Aston Villa,1191,430,328,433,1618
WHU,West Ham United,1148,381,289,478,1432
SOU,Southampton,962,282,254,426,1100
BLA,Blackburn Rovers,696,262,184,250,970
LEE,Leeds United,621,235,165,221,870
LEI,Leicester City,688,224,174,290,846
FUL,Fulham,722,220,185,317,845
CRY,Crystal Palace,655,193,177,285,756
SUN,Sunderland,647,167,171,309,672
MID,Middlesbrough,574,165,169,240,664
BOL,Bolton Wanderers,494,149,128,217,575
WOL,Wolverhampton Wanderers,456,129,110,217,497
WBA,West Bromwich Albion,494,117,139,238,490
STO,Stoke City,380,116,109,155,457
BHA,Brighton and Hove Albion,343,109,109,125,436
NFO,Nottingham Forest,351,108,98,145,422
BOU,Bournemouth,343,108,87,148,411
COV,Coventry City,355,99,112,144,409
NOR,Norwich City,392,99,105,188,402
SHW,Sheffield Wednesday,316,101,89,126,392
WIM,Wimbledon,316,99,94,123,391
BUR,Burnley,380,92,95,193,371
CHA,Charlton Athletic,304,93,82,129,361
WIG,Wigan Athletic,304,85,76,143,331
SWA,Swansea City,266,82,66,118,312
QPR,Queens Park Rangers,278,81,65,132,308
POR,Portsmouth,266,79,65,122,302
BIR,Birmingham City,266,73,82,111,301
WAT,Watford,304,73,66,165,285
DER,Derby County,266,68,70,128,274
BRE,Brentford,191,69,49,73,256
IPS,Ipswich Town,241,62,63,116,249
SHU,Sheffield United,236,56,57,123,225
HUL,Hull City,191,42,48,101,174
REA,Reading,114,32,23,59,119
OLD,Oldham Athletic,84,22,23,39,89
CAR,Cardiff City,76,17,13,46,64
BRA,Bradford City,76,14,20,42,62
HUD,Huddersfield Town,76,12,17,47,53
BPL,Blackpool,38,10,9,19,39
BAR,Barnsley,38,10,5,23,35
SWI,Swindon Town,42,5,15,22,30
LUT,Luton Town,38,6,8,24,26
