season_label,minute,label,matches
2018-19,1,1,5
2018-19,2,2,6
2018-19,3,3,9
2018-19,4,4,8
2018-19,5,5,11
2018-19,6,6,9
2018-19,7,7,6
2018-19,8,8,6
2018-19,9,9,8
2018-19,10,10,11
2018-19,11,11,11
2018-19,12,12,5
2018-19,13,13,6
2018-19,14,14,9
2018-19,15,15,9
2018-19,16,16,11
2018-19,17,17,9
2018-19,18,18,9
2018-19,19,19,5
2018-19,20,20,6
2018-19,21,21,4
2018-19,22,22,5
2018-19,23,23,4
2018-19,24,24,11
2018-19,25,25,9
2018-19,26,26,6
2018-19,27,27,8
2018-19,28,28,4
2018-19,29,29,6
2018-19,30,30,6
2018-19,31,31,2
2018-19,32,32,3
2018-19,33,33,6
2018-19,34,34,3
2018-19,35,35,3
2018-19,36,36,0
2018-19,37,37,1
2018-19,38,38,4
2018-19,39,39,3
2018-19,40,40,4
2018-19,41,41,6
2018-19,42,42,2
2018-19,43,43,2
2018-19,44,44,2
2018-19,45,45,2
2018-19,46,46,7
2018-19,47,47,3
2018-19,48,48,4
2018-19,49,49,3
2018-19,50,50,4
2018-19,51,51,5
2018-19,52,52,2
2018-19,53,53,5
2018-19,54,54,2
2018-19,55,55,5
2018-19,56,56,7
2018-19,57,57,4
2018-19,58,58,1
2018-19,59,59,4
2018-19,60,60,0
2018-19,61,61,3
2018-19,62,62,0
2018-19,63,63,1
2018-19,64,64,1
2018-19,65,65,2
2018-19,66,66,3
2018-19,67,67,2
2018-19,68,68,0
2018-19,69,69,1
2018-19,70,70,1
2018-19,71,71,0
2018-19,72,72,1
2018-19,73,73,0
2018-19,74,74,2
2018-19,75,75,1
2018-19,76,76,2
2018-19,77,77,0
2018-19,78,78,0
2018-19,79,79,3
2018-19,80,80,0
2018-19,81,81,2
2018-19,82,82,0
2018-19,83,83,3
2018-19,84,84,0
2018-19,85,85,0
2018-19,86,86,0
2018-19,87,87,1
2018-19,88,88,1
2018-19,89,89,0
2018-19,90,90,0
2018-19,91,90+,7
2019-20,1,1,4
2019-20,2,2,7
2019-20,3,3,5
2019-20,4,4,5
2019-20,5,5,6
2019-20,6,6,9
2019-20,7,7,6
2019-20,8,8,6
2019-20,9,9,5
2019-20,10,10,12
2019-20,11,11,4
2019-20,12,12,5
2019-20,13,13,10
2019-20,14,14,6
2019-20,15,15,7
2019-20,16,16,6
2019-20,17,17,9
2019-20,18,18,8
2019-20,19,19,4
2019-20,20,20,6
2019-20,21,21,15
2019-20,22,22,5
2019-20,23,23,9
2019-20,24,24,8
2019-20,25,25,4
2019-20,26,26,4
2019-20,27,27,11
2019-20,28,28,5
2019-20,29,29,2
2019-20,30,30,6
2019-20,31,31,6
