team_name,minute,home_goals,away_goals
Arsenal,1,0,0
Arsenal,2,0,0
Arsenal,3,0,0
Arsenal,4,0,0
Arsenal,5,0,1
Arsenal,6,0,0
Arsenal,7,0,0
Arsenal,8,0,0
Arsenal,9,2,1
Arsenal,10,0,0
Arsenal,11,1,0
Arsenal,12,0,0
Arsenal,13,0,1
Arsenal,14,1,1
Arsenal,15,0,0
Arsenal,16,0,1
Arsenal,17,0,0
Arsenal,18,0,1
Arsenal,19,0,0
Arsenal,20,0,0
Arsenal,21,1,0
Arsenal,22,0,0
Arsenal,23,0,0
Arsenal,24,0,0
Arsenal,25,0,0
Arsenal,26,0,0
Arsenal,27,0,2
Arsenal,28,0,0
Arsenal,29,1,0
Arsenal,30,0,0
Arsenal,31,0,0
Arsenal,32,1,1
Arsenal,33,0,0
Arsenal,34,1,0
Arsenal,35,1,1
Arsenal,36,1,0
Arsenal,37,1,0
Arsenal,38,1,1
Arsenal,39,1,0
Arsenal,40,1,0
Arsenal,41,1,0
Arsenal,42,1,1
Arsenal,43,0,0
Arsenal,44,0,0
Arsenal,45,1,0
Arsenal,46,1,0
Arsenal,47,0,1
Arsenal,48,2,1
Arsenal,49,0,0
Arsenal,50,0,0
Arsenal,51,0,0
Arsenal,52,2,1
Arsenal,53,0,0
Arsenal,54,0,2
Arsenal,55,0,0
Arsenal,56,0,1
Arsenal,57,0,0
Arsenal,58,0,1
Arsenal,59,0,1
Arsenal,60,0,0
Arsenal,61,0,1
Arsenal,62,0,0
Arsenal,63,0,0
Arsenal,64,0,0
Arsenal,65,0,0
Arsenal,66,2,0
Arsenal,67,1,0
Arsenal,68,0,0
Arsenal,69,1,1
Arsenal,70,1,0
Arsenal,71,0,0
Arsenal,72,0,0
Arsenal,73,0,0
Arsenal,74,0,1
Arsenal,75,0,0
Arsenal,76,0,0
Arsenal,77,0,0
Arsenal,78,1,0
Arsenal,79,0,0
Arsenal,80,0,0
Arsenal,81,0,0
Arsenal,82,0,0
Arsenal,83,0,1
Arsenal,84,1,1
Arsenal,85,0,0
Arsenal,86,0,1
Arsenal,87,0,0
Arsenal,88,0,0
Arsenal,89,1,0
Arsenal,90,4,1
West Ham United,1,1,0
West Ham United,2,0,0
West Ham United,3,0,0
West Ham United,4,0,0
West Ham United,5,0,0
West Ham United,6,1,0
West Ham United,7,0,1
West Ham United,8,0,0
West Ham United,9,0,0
West Ham United,10,1,0
West Ham United,11,0,1
West Ham United,12,0,0
West Ham United,13,1,1
West Ham United,14,1,0
West Ham United,15,0,1
West Ham United,16,0,0
West Ham United,17,0,0
West Ham United,18,0,0
West Ham United,19,0,0
West Ham United,20,0,0
West Ham United,21,0,0
West Ham United,22,0,0
West Ham United,23,0,0
West Ham United,24,1,0
West Ham United,25,0,0
West Ham United,26,0,1
West Ham United,27,0,0
West Ham United,28,1,0
West Ham United,29,0,0
West Ham United,30,0,0
West Ham United,31,0,0
West Ham United,32,0,0
West Ham United,33,0,0
West Ham United,34,0,0
West Ham United,35,2,0
West Ham United,36,0,1
West Ham United,37,0,0
West Ham United,38,0,0
West Ham United,39,0,0
West Ham United,40,0,0
West Ham United,41,0,0
West Ham United,42,1,0
West Ham United,43,1,0
West Ham United,44,1,0
West Ham United,45,2,0
West Ham United,46,0,0
West Ham United,47,0,0
West Ham United,48,0,0
West Ham United,49,1,1
West Ham United,50,1,0
West Ham United,51,1,0
West Ham United,52,0,0
West Ham United,53,0,0
West Ham United,54,0,0
West Ham United,55,0,0
West Ham United,56,0,0
West Ham United,57,0,0
West Ham United,58,0,0
West Ham United,59,0,0
West Ham United,60,0,0
West Ham United,61,0,0
West Ham United,62,0,0
West Ham United,63,0,0
West Ham United,64,0,0
West Ham United,65,0,2
West Ham United,66,1,0
West Ham United,67,1,0
West Ham United,68,0,0
West Ham United,69,0,1
West Ham United,70,0,0
West Ham United,71,0,0
West Ham United,72,0,0
West Ham United,73,0,1
West Ham United,74,0,0
West Ham United,75,0,1
West Ham United,76,0,0
West Ham United,77,1,0
West Ham United,78,0,0
West Ham United,79,1,0
West Ham United,80,0,0
West Ham United,81,0,0
West Ham United,82,0,0
West Ham United,83,0,1
West Ham United,84,0,1
West Ham United,85,0,0
West Ham United,86,0,0
West Ham United,87,1,0
West Ham United,88,0,1
West Ham United,89,0,0
West Ham United,90,3,3
