rank,manager_name,wins,games,draws,losses,win_pct,points,goals_for,goals_against
1,Alex Ferguson,528,810,168,114,65.2,1752,1627,703
2,Arsène Wenger,476,828,199,153,57.5,1627,1561,807
3,David Moyes,290,754,199,265,38.5,1069,1016,983
4,Pep Guardiola,269,380,58,53,70.8,865,904,328
5,Harry Redknapp,236,642,167,239,36.8,875,819,849
6,José Mourinho,217,363,84,62,59.8,735,625,305
7,Jürgen Klopp,209,334,78,47,62.6,705,714,331
8,Sam Allardyce,178,541,146,217,32.9,680,636,759
9,Rafael Benítez,173,359,86,100,48.2,605,543,350
10,Mark Hughes,157,465,127,181,33.8,598,568,640
11,Mauricio Pochettino,150,294,70,74,51.0,520,522,335
12,Mikel Arteta,149,248,48,51,60.1,495,467,241
13,Eddie Howe,140,369,81,148,37.9,501,547,565
14,Brendan Rodgers,139,312,71,102,44.6,488,529,410
15,Roy Hodgson,136,416,102,178,32.7,510,481,586
16,Steve Bruce,133,476,132,211,27.9,531,496,654
17,Martin O'Neill,130,360,115,115,36.1,505,475,449
18,Kevin Keegan,116,267,65,86,43.4,413,409,317
19,Kenny Dalglish,115,238,60,63,48.3,405,362,239
20,David O'Leary,112,259,68,79,43.2,404,364,304
21,Claudio Ranieri,109,238,59,70,45.8,386,385,283
22,Alan Pardew,109,321,69,143,34.0,396,391,481
23,Alan Curbishley,108,328,85,135,32.9,409,381,472
24,Gérard Houllier,106,234,61,67,45.3,379,370,256
25,George Graham,102,288,92,94,35.4,398,341,300
26,Tony Pulis,99,324,94,131,30.6,391,321,416
27,Sean Dyche,99,351,95,157,28.2,392,343,492
28,Unai Emery,98,190,42,50,51.6,336,321,257
29,Joe Kinnear,97,302,92,113,32.1,383,369,436
30,Graeme Souness,94,280,78,108,33.6,360,376,380
31,Manuel Pellegrini,90,171,32,49,52.6,302,329,203
32,Marco Silva,90,247,50,107,36.4,320,334,372
33,Glenn Hoddle,88,256,70,98,34.4,334,314,352
34,Antonio Conte,83,132,19,30,62.9,268,259,135
35,Roberto Mancini,83,134,27,24,61.9,276,259,114
36,Roy Evans,83,172,46,43,48.3,295,280,173
37,Bobby Robson,83,188,51,54,44.1,300,294,235
38,Nuno Espírito Santo,83,219,54,82,37.9,303,278,294
39,Gordon Strachan,82,271,80,109,30.3,326,308,360
40,Roberto Martínez,81,265,77,107,30.6,320,331,419
41,Gerry Francis,79,217,64,74,36.4,301,295,283
42,Martin Jol,75,202,51,76,37.1,276,277,281
43,Peter Reid,74,227,60,93,32.6,282,260,316
44,Carlo Ancelotti,73,134,27,34,54.5,246,243,140
45,Steve McClaren,70,218,56,92,32.1,266,256,300
46,Howard Wilkinson,66,189,57,66,34.9,255,241,238
