player_name,season_label,match_week,cumulative_goals
Erling Haaland,2023-24,1,2
Erling Haaland,2023-24,2,2
Erling Haaland,2023-24,3,3
Erling Haaland,2023-24,4,6
Erling Haaland,2023-24,5,7
Erling Haaland,2023-24,6,8
Erling Haaland,2023-24,7,8
Erling Haaland,2023-24,8,8
Erling Haaland,2023-24,9,9
Erling Haaland,2023-24,10,11
Erling Haaland,2023-24,11,11
Erling Haaland,2023-24,12,13
Erling Haaland,2023-24,13,14
Erling Haaland,2023-24,14,14
Erling Haaland,2023-24,15,14
Erling Haaland,2023-24,16,14
Erling Haaland,2023-24,17,14
Erling Haaland,2023-24,18,14
Erling Haaland,2023-24,19,14
Erling Haaland,2023-24,20,14
Erling Haaland,2023-24,21,14
Erling Haaland,2023-24,22,14
Erling Haaland,2023-24,23,16
Erling Haaland,2023-24,24,16
Erling Haaland,2023-24,25,17
Erling Haaland,2023-24,26,17
Erling Haaland,2023-24,27,18
Erling Haaland,2023-24,28,18
Erling Haaland,2023-24,29,18
Erling Haaland,2023-24,30,18
Erling Haaland,2023-24,31,19
Erling Haaland,2023-24,32,20
Erling Haaland,2023-24,33,20
Erling Haaland,2023-24,34,21
Erling Haaland,2023-24,35,25
Erling Haaland,2023-24,36,25
Erling Haaland,2023-24,37,27
Erling Haaland,2023-24,38,27
Erling Haaland,2024-25,1,1
Erling Haaland,2024-25,2,4
Erling Haaland,2024-25,3,7
Erling Haaland,2024-25,4,9
Erling Haaland,2024-25,5,10
Erling Haaland,2024-25,6,10
Erling Haaland,2024-25,7,10
Erling Haaland,2024-25,8,10
Erling Haaland,2024-25,9,11
Erling Haaland,2024-25,10,11
Erling Haaland,2024-25,11,12
Erling Haaland,2024-25,12,12
Erling Haaland,2024-25,13,12
Erling Haaland,2024-25,14,12
Erling Haaland,2024-25,15,13
Erling Haaland,2024-25,16,13
Erling Haaland,2024-25,17,13
Erling Haaland,2024-25,18,13
Erling Haaland,2024-25,19,14
Erling Haaland,2024-25,20,16
Erling Haaland,2024-25,21,16
Erling Haaland,2024-25,22,17
Erling Haaland,2024-25,23,18
Erling Haaland,2024-25,24,19
Erling Haaland,2024-25,25,19
Erling Haaland,2024-25,26,19
Erling Haaland,2024-25,27,20
Erling Haaland,2024-25,28,20
Erling Haaland,2024-25,29,21
Erling Haaland,2024-25,30,21
Erling Haaland,2024-25,31,21
Erling Haaland,2024-25,32,21
Erling Haaland,2024-25,33,21
Erling Haaland,2024-25,34,21
Erling Haaland,2024-25,35,21
Erling Haaland,2024-25,36,21
Erling Haaland,2024-25,37,21
Erling Haaland,2024-25,38,22
Erling Haaland,2025-26,1,2
Erling Haaland,2025-26,2,2
Erling Haaland,2025-26,3,3
Erling Haaland,2025-26,4,5
Erling Haaland,2025-26,5,6
Erling Haaland,2025-26,6,8
Erling Haaland,2025-26,7,9
Erling Haaland,2025-26,8,11
Erling Haaland,2025-26,9,11
Erling Haaland,2025-26,10,13
Erling Haaland,2025-26,11,14
Erling Haaland,2025-26,12,14
Erling Haaland,2025-26,13,14
Erling Haaland,2025-26,14,15
Erling Haaland,2025-26,15,15
Erling Haaland,2025-26,16,17
Erling Haaland,2025-26,17,19
Erling Haaland,2025-26,18,19
Erling Haaland,2025-26,19,19
Erling Haaland,2025-26,20,19
Erling Haaland,2025-26,21,20
Erling Haaland,2025-26,22,20
Erling Haaland,2025-26,23,20
Erling Haaland,2025-26,24,20
Erling Haaland,2025-26,25,21
Erling Haaland,2025-26,26,22
Erling Haaland,2025-26,27,22
Erling Haaland,2025-26,28,22
Erling Haaland,2025-26,29,22
Erling Haaland,2025-26,30,22
Erling Haaland,2025-26,31,22
Erling Haaland,2025-26,32,23
Erling Haaland,2025-26,33,24
Erling Haaland,2025-26,34,25
Erling Haaland,2025-26,35,26
Erling Haaland,2025-26,36,26
Erling Haaland,2025-26,37,27
Erling Haaland,2025-26,38,27
Erling Haaland,2026-27,1,0
Mohamed Salah,2023-24,1,0
Mohamed Salah,2023-24,2,1
Mohamed Salah,2023-24,3,1
Mohamed Salah,2023-24,4,2
Mohamed Salah,2023-24,5,2
Mohamed Salah,2023-24,6,3
Mohamed Salah,2023-24,7,3
Mohamed Salah,2023-24,8,5
Mohamed Salah,2023-24,9,7
Mohamed Salah,2023-24,10,8
Mohamed Salah,2023-24,11,8
Mohamed Salah,2023-24,12,10
Mohamed Salah,2023-24,13,10
Mohamed Salah,2023-24,14,10
Mohamed Salah,2023-24,15,10
Mohamed Salah,2023-24,16,11
Mohamed Salah,2023-24,17,11
Mohamed Salah,2023-24,18,12
Mohamed Salah,2023-24,19,12
Mohamed Salah,2023-24,20,14
Mohamed Salah,2023-24,21,14
Mohamed Salah,2023-24,22,14
Mohamed Salah,2023-24,23,14
Mohamed Salah,2023-24,24,14
Mohamed Salah,2023-24,25,15
Mohamed Salah,2023-24,26,15
Mohamed Salah,2023-24,27,15
Mohamed Salah,2023-24,28,15
Mohamed Salah,2023-24,29,16
Mohamed Salah,2023-24,30,16
Mohamed Salah,2023-24,31,17
Mohamed Salah,2023-24,32,17
Mohamed Salah,2023-24,33,17
Mohamed Salah,2023-24,34,17
Mohamed Salah,2023-24,35,17
Mohamed Salah,2023-24,36,18
Mohamed Salah,2023-24,37,18
Mohamed Salah,2023-24,38,18
Mohamed Salah,2024-25,1,1
Mohamed Salah,2024-25,2,2
Mohamed Salah,2024-25,3,3
Mohamed Salah,2024-25,4,3
Mohamed Salah,2024-25,5,3
Mohamed Salah,2024-25,6,4
Mohamed Salah,2024-25,7,4
Mohamed Salah,2024-25,8,5
Mohamed Salah,2024-25,9,6
Mohamed Salah,2024-25,10,7
Mohamed Salah,2024-25,11,8
Mohamed Salah,2024-25,12,10
Mohamed Salah,2024-25,13,11
Mohamed Salah,2024-25,14,13
Mohamed Salah,2024-25,15,13
Mohamed Salah,2024-25,16,15
Mohamed Salah,2024-25,17,16
Mohamed Salah,2024-25,18,17
Mohamed Salah,2024-25,19,18
Mohamed Salah,2024-25,20,18
Mohamed Salah,2024-25,21,18
Mohamed Salah,2024-25,22,19
Mohamed Salah,2024-25,23,21
Mohamed Salah,2024-25,24,22
Mohamed Salah,2024-25,25,23
Mohamed Salah,2024-25,26,24
Mohamed Salah,2024-25,27,25
Mohamed Salah,2024-25,28,25
Mohamed Salah,2024-25,29,27
Mohamed Salah,2024-25,30,27
Mohamed Salah,2024-25,31,27
Mohamed Salah,2024-25,32,27
Mohamed Salah,2024-25,33,27
Mohamed Salah,2024-25,34,28
Mohamed Salah,2024-25,35,28
Mohamed Salah,2024-25,36,28
Mohamed Salah,2024-25,37,28
Mohamed Salah,2024-25,38,29
Mohamed Salah,2025-26,1,1
Mohamed Salah,2025-26,2,1
Mohamed Salah,2025-26,3,1
Mohamed Salah,2025-26,4,2
Mohamed Salah,2025-26,5,2
Mohamed Salah,2025-26,6,2
Mohamed Salah,2025-26,7,2
Mohamed Salah,2025-26,8,2
Mohamed Salah,2025-26,9,3
Mohamed Salah,2025-26,10,4
Mohamed Salah,2025-26,11,4
Mohamed Salah,2025-26,12,4
Mohamed Salah,2025-26,13,4
Mohamed Salah,2025-26,14,4
Mohamed Salah,2025-26,15,4
Mohamed Salah,2025-26,16,4
Mohamed Salah,2025-26,17,4
Mohamed Salah,2025-26,18,4
Mohamed Salah,2025-26,19,4
Mohamed Salah,2025-26,20,4
Mohamed Salah,2025-26,21,4
Mohamed Salah,2025-26,22,4
Mohamed Salah,2025-26,23,4
Mohamed Salah,2025-26,24,4
Mohamed Salah,2025-26,25,4
Mohamed Salah,2025-26,26,4
Mohamed Salah,2025-26,27,4
Mohamed Salah,2025-26,28,4
Mohamed Salah,2025-26,29,5
Mohamed Salah,2025-26,30,5
Mohamed Salah,2025-26,31,5
Mohamed Salah,2025-26,32,6
Mohamed Salah,2025-26,33,7
Mohamed Salah,2025-26,34,7
Mohamed Salah,2025-26,35,7
Mohamed Salah,2025-26,36,7
