category,rank,team_name,team_abbr,run_length,start_date,end_date,seasons,opponents
scoreless,1,Crystal Palace,CRY,9,1994-11-19,1995-01-02,1994-95,"Manchester United, Southampton, Sheffield Wednesday, Liverpool, Norwich City, Queens Park Rangers, Tottenham Hotspur, Blackburn Rovers, Nottingham Forest"
scoreless,2,Leicester City,LEI,8,2025-02-01,2025-04-07,2024-25,"Everton, Arsenal, Brentford, West Ham United, Chelsea, Manchester United, Manchester City, Newcastle United"
scoreless,3,Ipswich Town,IPS,7,1995-02-28,1995-04-11,1994-95,"Newcastle United, Manchester United, Tottenham Hotspur, Norwich City, Aston Villa, Leeds United, Queens Park Rangers"
scoreless,4,Derby County,DER,7,2007-10-07,2007-12-01,2007-08,"Reading, Fulham, Everton, Aston Villa, West Ham United, Chelsea, Sunderland"
scoreless,5,Sunderland,SUN,7,2017-02-11,2017-04-09,2016-17,"Southampton, Everton, Manchester City, Burnley, Watford, Leicester City, Manchester United"
scoring,1,Arsenal,ARS,55,2001-05-19,2002-11-30,2000-01 → 2002-03,"Southampton, Middlesbrough, Leeds United, Leicester City, Chelsea, Fulham, Bolton Wanderers, Derby County, Southampton, Blackburn Rovers, Sunderland, Charlton Athletic, Tottenham Hotspur, Manchester United, Ipswich Town, Aston Villa, West Ham United, Newcastle United, Liverpool, Chelsea, Middlesbrough, Liverpool, Leeds United, Leicester City, Blackburn Rovers, Southampton, Everton, Fulham, Newcastle United, Derby County, Aston Villa, Sunderland, Charlton Athletic, Tottenham Hotspur, Ipswich Town, West Ham United, Bolton Wanderers, Manchester United, Everton, Birmingham City, West Ham United, West Bromwich Albion, Chelsea, Manchester City, Charlton Athletic, Bolton Wanderers, Leeds United, Sunderland, Everton, Blackburn Rovers, Fulham, Newcastle United, Tottenham Hotspur, Southampton, Aston Villa"
scoring,2,Liverpool,LIV,44,2024-09-21,2025-11-01,2024-25 → 2025-26,"Bournemouth, Wolverhampton Wanderers, Crystal Palace, Chelsea, Arsenal, Brighton and Hove Albion, Aston Villa, Southampton, Manchester City, Newcastle United, Fulham, Tottenham Hotspur, Leicester City, West Ham United, Manchester United, Nottingham Forest, Brentford, Ipswich Town, Bournemouth, Everton, Wolverhampton Wanderers, Aston Villa, Manchester City, Newcastle United, Southampton, Everton, Fulham, West Ham United, Leicester City, Tottenham Hotspur, Chelsea, Arsenal, Brighton and Hove Albion, Crystal Palace, Bournemouth, Newcastle United, Arsenal, Burnley, Everton, Crystal Palace, Chelsea, Manchester United, Brentford, Aston Villa"
scoring,3,Tottenham Hotspur,TOT,39,2023-03-11,2024-03-10,2022-23 → 2023-24,"Nottingham Forest, Southampton, Everton, Brighton and Hove Albion, Bournemouth, Newcastle United, Manchester United, Liverpool, Crystal Palace, Aston Villa, Brentford, Leeds United, Brentford, Manchester United, Bournemouth, Burnley, Sheffield United, Arsenal, Liverpool, Luton Town, Fulham, Crystal Palace, Chelsea, Wolverhampton Wanderers, Aston Villa, Manchester City, West Ham United, Newcastle United, Nottingham Forest, Everton, Brighton and Hove Albion, Bournemouth, Manchester United, Brentford, Everton, Brighton and Hove Albion, Wolverhampton Wanderers, Crystal Palace, Aston Villa"
scoring,4,Manchester United,MUN,36,2007-12-03,2008-11-15,2007-08 → 2008-09,"Fulham, Derby County, Liverpool, Everton, Sunderland, West Ham United, Birmingham City, Newcastle United, Reading, Portsmouth, Tottenham Hotspur, Manchester City, Newcastle United, Fulham, Derby County, Bolton Wanderers, Liverpool, Aston Villa, Middlesbrough, Arsenal, Blackburn Rovers, Chelsea, West Ham United, Wigan Athletic, Newcastle United, Portsmouth, Liverpool, Chelsea, Bolton Wanderers, Blackburn Rovers, West Bromwich Albion, Everton, West Ham United, Hull City, Arsenal, Stoke City"
scoring,5,Brighton and Hove Albion,BHA,32,2023-03-04,2023-12-09,2022-23 → 2023-24,"West Ham United, Leeds United, Crystal Palace, Brentford, Bournemouth, Tottenham Hotspur, Chelsea, Nottingham Forest, Wolverhampton Wanderers, Manchester United, Everton, Arsenal, Newcastle United, Southampton, Manchester City, Aston Villa, Luton Town, Wolverhampton Wanderers, West Ham United, Newcastle United, Manchester United, Bournemouth, Aston Villa, Liverpool, Manchester City, Fulham, Everton, Sheffield United, Nottingham Forest, Chelsea, Brentford, Burnley"
