season_label,matches,total_goals,goals_per_game,nil_nils,draws,draw_pct,red_cards,reds_per_game,goals_rank,nil_nils_rank,draw_rank,excitement_score,excitement_rank
2023-24,380,1246,3.28,11,82,21.6,58,0.15,1,2,5,8,1
2018-19,380,1072,2.82,22,71,18.7,47,0.12,4,6,2,12,2
2026-27,9,25,2.78,0,1,11.1,1,0.11,11,1,1,13,3
2024-25,380,1115,2.93,16,93,24.5,52,0.14,2,3,13,18,4
2021-22,380,1071,2.82,22,88,23.2,43,0.11,4,6,9,19,5
2022-23,380,1084,2.85,23,87,22.9,30,0.08,3,9,8,20,6
2016-17,380,1064,2.8,27,84,22.1,41,0.11,7,12,7,26,7
1999-00,380,1060,2.79,22,92,24.2,0,0.0,10,6,11,27,8
2013-14,380,1052,2.77,27,78,20.5,53,0.14,12,12,4,28,9
2019-20,380,1034,2.72,21,92,24.2,44,0.12,15,4,11,30,10
2011-12,380,1066,2.81,27,93,24.5,66,0.17,6,12,13,31,11
2002-03,380,1000,2.63,21,90,23.7,0,0.0,23,4,10,37,12
2020-21,380,1024,2.69,30,83,21.8,48,0.13,17,18,6,41,13
2010-11,380,1063,2.8,25,111,29.2,65,0.17,7,10,32,49,14
2009-10,380,1053,2.77,32,96,25.3,68,0.18,12,21,17,50,15
2025-26,380,1045,2.75,27,104,27.4,44,0.12,14,12,25,51,16
2007-08,380,1002,2.64,26,100,26.3,59,0.16,22,11,22,55,17
1995-96,380,988,2.6,27,98,25.8,0,0.0,26,12,19,57,18
2005-06,380,944,2.48,32,77,20.3,0,0.0,33,21,3,57,19
1997-98,380,1019,2.68,33,95,25.0,0,0.0,18,25,16,59,20
2017-18,380,1018,2.68,32,99,26.1,39,0.1,18,21,21,60,21
2014-15,380,975,2.57,31,93,24.5,71,0.19,29,20,13,62,22
2012-13,380,1063,2.8,35,108,28.4,52,0.14,7,28,28,63,23
2015-16,380,1026,2.7,32,107,28.2,59,0.16,16,21,27,64,24
2000-01,380,992,2.61,28,101,26.6,1,0.0,25,17,23,65,25
2001-02,380,1001,2.63,34,101,26.6,2,0.01,23,26,23,72,26
1992-93,462,1222,2.65,38,130,28.1,0,0.0,21,29,26,76,27
2004-05,380,975,2.57,30,110,28.9,0,0.0,29,18,30,77,28
2003-04,380,1012,2.66,41,108,28.4,0,0.0,20,30,28,78,29
2006-07,380,931,2.45,34,98,25.8,51,0.13,35,26,19,80,30
2008-09,380,942,2.48,42,97,25.5,63,0.17,33,32,18,83,31
1994-95,462,1195,2.59,51,134,29.0,0,0.0,27,35,31,93,32
1993-94,462,1195,2.59,43,142,30.7,0,0.0,27,33,34,94,33
1996-97,380,970,2.55,41,119,31.3,0,0.0,31,30,35,96,34
1998-99,380,959,2.52,49,115,30.3,0,0.0,32,34,33,99,35
